Ranking,University,Location,Overall Score,Academic Reputation,Citations per Faculty,Employer Reputation,Faculty Student Ratio,International Faculty Ratio,International Students Ratio
1,Massachusetts Institute of Technology (MIT),"Cambridge, United States",100,100,99.9,100,100,100,96.1
2,Stanford University,"Stanford, United States",98.7,100,99.4,100,100,99.6,72.7
3,Harvard University,"Cambridge, United States",98.4,100,99.9,100,98.3,96.5,75.2
4,California Institute of Technology (Caltech),"Pasadena, United States",97.7,99.5,100,85.4,100,93.4,89.2
5,University of Cambridge,"Cambridge, United Kingdom",95.6,100,78.3,100,100,97.4,97.7
6,University of Oxford,"Oxford, United Kingdom",95.3,100,76.3,100,100,98.6,98.5
7,UCL,"London, United Kingdom",94.6,99.7,74.7,99.5,99.1,96.6,100
8,Imperial College London,"London, United Kingdom",93.7,99.4,68.7,100,100,100,100
9,University of Chicago,"Chicago, United States",93.5,99.9,85.9,92.9,96.5,71.9,79.8
10,ETH Zurich - Swiss Federal Institute of Technology,"Zürich, Switzerland",93.3,99.6,98.7,99.4,68.2,100,98.8
11,"Nanyang Technological University, Singapore (NTU)","Singapore, Singapore",92.2,93.9,83.3,96.6,93.6,100,88.2
12,EPFL,"Lausanne, Switzerland",91.2,83,99.2,95.5,92,100,100
13,Princeton University,"Princeton, United States",91,100,100,97.3,70.9,67.4,70.8
14,Cornell University,"Ithaca, United States",90.7,99.6,96.2,93.7,67.4,92.2,79.2
15,National University of Singapore (NUS),"Singapore, Singapore",90.5,100,66.2,99.9,88.8,100,86.1
16,Yale University,"New Haven, United States",90.4,100,63.2,99.8,100,90.7,61.7
17,Johns Hopkins University,"Baltimore, United States",89.8,94.3,83.9,66.4,100,87.9,81.3
18,Columbia University,"New York City, United States",88.9,99.9,62.3,98.1,100,34.7,94.9
19,University of Pennsylvania,"Philadelphia, United States",88.7,97.4,67.4,94.9,100,67.1,64.5
20,The Australian National University,"Canberra, Australia",87.1,99.3,85.6,90.4,55.3,100,98.8
=21,Duke University,"Durham, United States",87,94,91.4,78.1,98.1,,56.6
=21,University of Michigan-Ann Arbor,"Ann Arbor, United States",87,99.7,66.7,92.2,89.6,78,51.2
=23,King's College London,"London, United Kingdom",86.9,92.8,64.8,92.4,87.6,97.4,99.2
=23,The University of Edinburgh,"Edinburgh, United Kingdom",86.9,99.1,55.5,96.6,83.2,94.9,98.6
25,Tsinghua University,"Beijing, China (Mainland)",85.6,99.2,75.3,99.6,86.7,42.1,25.6
26,The University of Hong Kong,"Hong Kong, Hong Kong SAR",85.5,99.1,46.3,93.4,85.3,100,99.4
27,"University of California, Berkeley (UCB)","Berkeley, United States",84.9,100,99.3,99.9,36.2,97.7,54.6
=28,Northwestern University,"Evanston, United States",84.8,91.3,75.4,76.6,98.6,57.9,55
=28,The University of Tokyo,"Tokyo, Japan",84.8,100,73.3,99.8,92.6,,
30,The Hong Kong University of Science and Technology,"Hong Kong, Hong Kong SAR",84.3,93,87.7,87.2,54.9,100,93
31,University of Toronto,"Toronto, Canada",84,99.7,50,95.6,74.5,97,92.1
32,McGill University,"Montreal, Canada",83.9,96.9,61.4,96.1,69.4,88.9,95.6
33,"University of California, Los Angeles (UCLA)","Los Angeles, United States",83.6,100,97.5,99.4,43.7,54,50
34,The University of Manchester,"Manchester, United Kingdom",83,97.4,47.5,99.4,75.4,89.3,98.3
35,The London School of Economics and Political Science (LSE),"London, United Kingdom",81.8,90.3,71.7,100,55.9,100,100
=36,Seoul National University,"Seoul, South Korea",81.5,98.9,70.6,97.4,79.8,23,
=36,Kyoto University,"Kyoto, Japan",81.5,99.7,56.4,94.9,95.7,,
=38,"University of California, San Diego (UCSD)","San Diego, United States",80.8,96,90.3,61.3,58.9,64.6,59.9
=38,Peking University,"Beijing, China (Mainland)",80.8,99.8,61.7,99.9,66.6,52.8,48.5
40,Fudan University,"Shanghai, China (Mainland)",80.6,91.4,63.7,97.1,76.1,79.5,45.2
=41,The University of Melbourne,"Parkville, Australia",80.4,99.8,77.2,99.5,26.2,94.7,99.7
=41,KAIST - Korea Advanced Institute of Science & Technology,"Daejeon, South Korea",80.4,89.4,99.5,87.4,70.1,25.2,
43,"Ecole normale supérieure, Paris","Paris, France",79.9,80.2,100,78.6,60.4,94.4,60.4
44,University of Bristol,"Bristol, United Kingdom",79.5,85.7,56.4,95.5,79.2,87.9,79.2
45,The University of New South Wales (UNSW Sydney),"Sydney, Australia",78.9,96.4,79.8,98.4,,100,97.8
46,The Chinese University of Hong Kong (CUHK),"Hong Kong, Hong Kong SAR",78.8,94.3,50.7,83.3,66,99.8,84.9
=47,The University of Queensland,"Brisbane, Australia",78.6,94.6,83.4,84.1,30.8,100,87.3
=47,Carnegie Mellon University,"Pittsburgh, United States",78.6,85,95.6,85.1,43.2,62.3,100
49,City University of Hong Kong,"Hong Kong, Hong Kong SAR",78.4,70.8,91.5,50.5,83.6,100,97.5
50,The University of Sydney,"Sydney, Australia",78,99.3,70.3,98.3,,100,98.1
51,University of British Columbia,"Vancouver, Canada",77.9,99.1,63.7,95.5,37.9,91.5,72.2
52,New York University (NYU),"New York City, United States",77.3,97.9,23.4,92.6,95.5,,84.1
53,Brown University,"Providence, United States",76.5,72.5,92.5,56.9,80.3,80.2,60.9
54,Delft University of Technology,"Delft, Netherlands",76.1,79.7,91.6,91,36.7,97.7,87.4
55,University of Wisconsin-Madison,"Madison, United States",75.8,94,54.2,62.1,84,53.2,30.9
56,Tokyo Institute of Technology (Tokyo Tech),"Tokyo, Japan",74.8,83.1,62.4,83.7,90.1,26.5,24.4
57,The University of Warwick,"Coventry, United Kingdom",74.4,83.5,54.1,98.9,51.2,98,99
58,University of Amsterdam,"Amsterdam, Netherlands",74.3,90.1,83.5,66.1,45.2,75.4,38.9
59,Ecole Polytechnique,"Palaiseau, France",74,61.2,50.8,99.9,99.3,96.4,90.8
60,Monash University,"Melbourne, Australia",73.1,93.6,68.5,95.2,,100,97.7
61,University of Washington,"Seattle, United States",72.9,92.3,98.8,56.7,28,57.2,39.4
62,Shanghai Jiao Tong University,"Shanghai, China (Mainland)",72.5,87,81.5,97.4,36.7,69.2,
63,Osaka University,"Osaka City, Japan",72.1,88.5,63.1,75.4,71.9,21.5,
64,Technical University of Munich,"Munich, Germany",72,86.3,26.6,98.7,86.4,53,44.8
65,University of Glasgow,"Glasgow, United Kingdom",71.6,80.4,55.5,66.6,60.7,90.5,96.6
66,Ludwig-Maximilians-Universität München,"Munich, Germany",70.8,95.8,55.1,88.2,38.9,54.8,38.6
67,University of Texas at Austin,"Austin, United States",70.6,97.6,95.7,82.1,,,
68,Ruprecht-Karls-Universität Heidelberg,"Heidelberg, Germany",70.4,87.6,34.8,76.5,76.6,50.5,55.2
69,University of Illinois at Urbana-Champaign,"Champaign, United States",70.3,95.1,93.5,59.8,,20.4,71.2
70,Georgia Institute of Technology,"Atlanta, United States",70.1,79.1,99.1,79.4,31.7,,72.1
=71,KU Leuven,"Leuven, Belgium",69.4,88.1,88.9,78,,84.8,41.6
=71,Pohang University of Science And Technology (POSTECH),"Pohang , South Korea",69.4,50.9,99.8,65.6,99.5,42.4,
=73,University of Zurich,"Zürich, Switzerland",69.2,68.3,31.9,78.1,98.1,100,59.2
=73,University of Copenhagen,"Copenhagen, Denmark",69.2,81.7,26.9,54.2,99.9,84.9,26.5
75,Universidad de Buenos Aires (UBA),"Buenos Aires, Argentina",69.1,94.5,,95.5,75.1,50.3,70.6
=76,National Taiwan University (NTU),"Taipei City, Taiwan",69,95.6,74.1,74.2,33.3,,
=76,Tohoku University,"Sendai City, Japan",69,78.3,48.4,66,98.1,,
=78,Durham University,"Durham, United Kingdom",68.5,66.8,76.3,97.1,37.5,94.8,87.8
=78,Lund University,"Lund, Sweden",68.5,80,51.8,71.8,53.7,88.3,73.8
80,"University of North Carolina, Chapel Hill","Chapel Hill, United States",67.8,77.5,61.5,48.1,86.9,28.5,
81,Boston University,"Boston, United States",67.2,71.3,59.8,78.5,66.4,22.1,86.5
=82,The University of Sheffield,"Sheffield, United Kingdom",67,69.8,50.1,69.9,64.3,83.6,96.8
=82,The University of Auckland,"Auckland, New Zealand",67,92.2,48.1,77.3,,85.5,89.6
=84,University of Birmingham,"Birmingham, United Kingdom",66.8,74.7,47.2,88.6,48.2,90.9,86
=84,University of Nottingham,"Nottingham, United Kingdom",66.8,69.9,46.3,87.5,59.5,89.5,86.5
86,The Ohio State University,"Columbus, United States",66.1,75.3,40.3,60.6,77.7,79.3,44.7
87,Zhejiang University,"Hangzhou, China (Mainland)",65.9,74,80.2,87.1,37.2,54.2,25.9
88,"Trinity College Dublin, The University of Dublin","Dublin, Ireland",65.7,73.8,68.3,68.9,30.7,98.4,89.5
89,Rice University,"Houston, United States",65.6,45.5,96.7,,83.9,87.5,87.7
=90,Korea University,"Seoul, South Korea",65.5,76.8,32.8,88.1,82.8,,36.7
=90,University of Alberta,"Edmonton, Canada",65.5,73,49.6,61.1,56.6,93,82.4
92,University of St Andrews,"St. Andrews, United Kingdom",65.3,53,69.6,57.1,72,98,99.9
=93,The University of Western Australia,"Perth, Australia",65.2,71.6,82.3,64.1,,100,72.9
=93,Pennsylvania State University,"University Park, United States",65.2,84.6,80.2,75.1,,,42.9
=95,The Hong Kong Polytechnic University,"Hong Kong, Hong Kong SAR",65,70.2,54.5,52.4,58,100,80.2
